DAY;PARTICIPANT;PHASE OF THE DAY;ENVIRONMENT;LIGHT;SCENARIO;SKY CONDITION;TIME AND DATE;mEDI;? ALPHA AVG.;? BETA LOW AVG.;? GAMMA AVG.
1;2;16.22;VR;DL;EXP;HAZY;DAY;301;10,7346;10,0348;14,5299
1;2;16.24;VR;DL;CONT;HAZY;DAY;287;8,4858;7,8667;13,1817
1;2;16.26;VR;DL;ACT;HAZY;DAY;321;18,0923;16,1853;19,8868
1;2;16.27;VR;DL+EL;CONT;HAZY;DAY;566;8,2707;7,3306;10,8809
1;2;16.29;VR;DL+EL;EXP;HAZY;DAY;565;8,2207;7,3695;10,9642
1;2;16.32;VR;DL+EL;CONT;HAZY;DAY;581;8,1284;7,4013;12,9029
1;2;16.39;VR;DL+EL;ACT;HAZY;DAY;553;20,5753;18,6922;22,7201
1;3;17.30;RE;DL;CONT;Partly Cloudy, no grade, some Sun;Evening Golden Hour;864;10,7543;8,2756;5,1957
1;3;17.32;RE;DL;EXP;Partly Cloudy, no grade, some Sun;Evening Golden Hour;915;14,6431;12,6997;13,6794
1;3;17.34;RE;DL;CONT;Partly Cloudy, no grade, some Sun;Evening Golden Hour;905;9,2370;6,6581;5,7707
1;3;17.36;RE;DL;ACT;Partly Cloudy, no grade, some Sun;Evening Golden Hour;893;11,7084;10,4870;13,2418
1;3;17.37;RE;DL+EL;CONT;Partly Cloudy, no grade, some Sun;Evening Golden Hour;944;9,5800;7,8218;7,3624
1;3;17.39;RE;DL+EL;EXP;Partly Cloudy, no grade, some Sun;Evening Golden Hour;874;10,6099;8,5921;8,0760
1;3;17.41;RE;DL+EL;CONT;Partly Cloudy, no grade, some Sun;Evening Golden Hour;835;10,6428;8,4522;9,2953
1;3;17.43;RE;DL+EL;ACT;Partly Cloudy, no grade, some Sun;Evening Golden Hour;772;12,4510;10,2353;11,7497
1;3;17.50;VR;DL;CONT;HAZY;DAY;123;11,0382;8,6640;8,8465
